,Unnamed: 0,id,uri,estateType,offerType,disposition,imageAltText,address,surface,surfaceLand,tags,price,charges,currency,petFriendly,reserved,highlighted,roommate,project,originalPrice,isDiscounted,nemoreport,isNew,videos,links,__typename,mainImage.id,mainImage.url,mainImage.__typename,gps.lat,gps.lng,gps.__typename,mortgageData.rateLow,mortgageData.rateHigh,mortgageData.loan,mortgageData.years,mortgageData.__typename,project.id,project.__typename,mainImage,nemoreport.id,nemoreport.status,nemoreport.timeCreated,nemoreport.__typename,total_price,full_url,price_per_sqm,distance,area
19,19,791651,791651-nabidka-pronajem-bytu-frantiska-kadlece-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 24 m², Františka Kadlece, Praha","Františka Kadlece, Praha - Libeň",24,,"['MHD 3 minuty pěšky', 'Vybaveno', 'Výtah', 'Parkování', 'Balkón 4 m²', 'Sklep 2 m²']",16900,3600,CZK,False,False,False,False,,16900,False,,True,[],[],Advert,16711692.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/791k/791651/1688838602-fmvwzwhrye-php88w5fq.jpg,Image,50.1142768,14.4777217,GPSPoint,,,,,MortgageData,,,,,,,,20500,https://www.bezrealitky.cz/nemovitosti-byty-domy/791651-nabidka-pronajem-bytu-frantiska-kadlece-praha,704.1666666666666,4.93, Praha - Libeň
78,78,630457,630457-nabidka-pronajem-bytu-lublanska-praha,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 25 m², Lublaňská, Praha, Praha","Lublaňská, Praha - Nové Město",25,0.0,"['MHD 2 minuty pěšky', 'Vybaveno']",19000,5000,CZK,,False,True,False,,24000,True,,False,[],[],Advert,10542469.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/630k/630457/1602510584-repdkelyhw.jpg,Image,50.071753,14.431997,GPSPoint,,,,,MortgageData,,,,,,,,24000,https://www.bezrealitky.cz/nemovitosti-byty-domy/630457-nabidka-pronajem-bytu-lublanska-praha,760.0,1.12, Praha - Nové Město
145,145,685106,685106-nabidka-pronajem-bytu-horska-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 33 m², Horská, Praha, Praha","Horská, Praha - Nové Město",33,0.0,"['MHD 1 minuta pěšky', 'Vybaveno', 'Balkón 3 m²']",22500,4000,CZK,,False,False,False,,19500,False,,False,[],[],Advert,12990485.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/685k/685106/1632377840-mvaffpwapg.jpg,Image,50.06662,14.42307,GPSPoint,,,,,MortgageData,,,,,,,,26500,https://www.bezrealitky.cz/nemovitosti-byty-domy/685106-nabidka-pronajem-bytu-horska-hlavni-mesto-praha,681.8181818181819,1.77, Praha - Nové Město
155,155,684038,684038-nabidka-pronajem-bytu-svatoplukova-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 18 m², Svatoplukova, Praha, Praha","Svatoplukova, Praha - Nusle",18,0.0,"['MHD do minuty pěšky', 'Vybaveno']",17500,1500,CZK,,False,True,False,,17500,False,,False,[],[],Advert,12983254.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/684k/684038/1632128139-jickdompul.jpg,Image,50.06489,14.43007,GPSPoint,,,,,MortgageData,,,,,,,,19000,https://www.bezrealitky.cz/nemovitosti-byty-domy/684038-nabidka-pronajem-bytu-svatoplukova-hlavni-mesto-praha,972.2222222222222,1.88, Praha - Nusle
237,237,789733,789733-nabidka-pronajem-bytu-thamova-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 22 m², Thámova, Praha, Praha","Thámova, Praha - Karlín",22,,"['MHD do minuty pěšky', 'Částečně vybaveno', 'Sklep 2 m²']",16000,3000,CZK,False,False,False,False,,16000,False,,False,[],[],Advert,16589485.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/789k/789733/1687768043-lfvrzjpewz-phpqnlmnd.jpg,Image,50.09362,14.45148,GPSPoint,,,,,MortgageData,,,,,,,,19000,https://www.bezrealitky.cz/nemovitosti-byty-domy/789733-nabidka-pronajem-bytu-thamova-praha,727.2727272727273,1.99, Praha - Karlín
249,249,790899,790899-nabidka-pronajem-bytu-lublanska-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 35 m², Lublaňská, Praha, Praha","Lublaňská, Praha - Nové Město",35,,"['MHD 2 minuty pěšky', 'Vybaveno', 'Balkón 5 m²']",29000,5000,CZK,True,False,True,False,,29000,False,,False,[],[],Advert,16675649.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790899/1688395729-dzpozougiu-phpynpqtp.jpg,Image,50.07173,14.43207,GPSPoint,,,,,MortgageData,,,,,,,,34000,https://www.bezrealitky.cz/nemovitosti-byty-domy/790899-nabidka-pronajem-bytu-lublanska-praha,828.5714285714286,1.13, Praha - Nové Město
252,252,775470,775470-nabidka-pronajem-bytu-sanderova-praha,BYT,PRONAJEM,DISP_3_KK,"Pronájem bytu 3+kk 145 m², Sanderova, Praha, Praha","Sanderova, Praha - Holešovice",145,,"['MHD 5 minut pěšky', 'Vybaveno', 'Výtah', 'Garáž', 'Terasa 35 m²']",99000,20000,CZK,False,False,False,False,,120000,True,,False,[],[],Advert,15730818.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/775k/775470/1680603131-ubnnsptoul-phpeqf7aq.jpg,Image,50.10576,14.45912,GPSPoint,,,,,MortgageData,,,,,,,,119000,https://www.bezrealitky.cz/nemovitosti-byty-domy/775470-nabidka-pronajem-bytu-sanderova-praha,682.7586206896551,3.35, Praha - Holešovice
259,259,719023,719023-nabidka-pronajem-bytu-washingtonova-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 42 m², Washingtonova, Praha, Praha","Washingtonova, Praha - Nové Město",42,0.0,"['MHD 1 minuta pěšky', 'Vybaveno', 'Výtah']",29323,5600,CZK,True,False,True,False,,26992,False,,False,[],[],Advert,13620468.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/719k/719023/1655287658-msqkcsyxdh-phptv9ne9.jpg,Image,50.08065,14.431,GPSPoint,,,,,MortgageData,,,,,,,,34923,https://www.bezrealitky.cz/nemovitosti-byty-domy/719023-nabidka-pronajem-bytu-washingtonova-hlavni-mesto-praha,698.1666666666666,0.13, Praha - Nové Město
261,261,714225,714225-nabidka-pronajem-bytu-washingtonova-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 27 m², Washingtonova, Praha, Praha","Washingtonova, Praha - Nové Město",27,0.0,"['MHD 1 minuta pěšky', 'Vybaveno', 'Výtah']",21042,4300,CZK,,False,True,False,,21656,False,,False,[],[],Advert,13622426.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/714k/714225/1655369946-bvfamzsuox-phpn5a7nz.jpg,Image,50.080550474458,14.430927343016,GPSPoint,,,,,MortgageData,,,,,,,,25342,https://www.bezrealitky.cz/nemovitosti-byty-domy/714225-nabidka-pronajem-bytu-washingtonova-hlavni-mesto-praha,779.3333333333334,0.14, Praha - Nové Město
273,273,790153,790153-nabidka-pronajem-bytu-u-nikolajky-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 26 m², U Nikolajky, Praha, Praha","U Nikolajky, Praha - Smíchov",26,,"['MHD do minuty pěšky', 'Vybaveno', 'Výtah', 'Parkování', 'Terasa 8 m²']",22500,3500,CZK,False,False,False,False,,25500,True,,False,[],[],Advert,16620180.0,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790153/1687944190-kanhmsjieh-phpssrzfw.jpg,Image,50.0672,14.39892,GPSPoint,,,,,MortgageData,,,,,,,,26000,https://www.bezrealitky.cz/nemovitosti-byty-domy/790153-nabidka-pronajem-bytu-u-nikolajky-praha,865.3846153846154,2.78, Praha - Smíchov
