,id,uri,estateType,offerType,disposition,imageAltText,address,surface,surfaceLand,tags,price,charges,currency,petFriendly,reserved,highlighted,roommate,project,originalPrice,isDiscounted,nemoreport,isNew,videos,links,__typename,mainImage.id,mainImage.url,mainImage.__typename,gps.lat,gps.lng,gps.__typename,mortgageData.rateLow,mortgageData.rateHigh,mortgageData.loan,mortgageData.years,mortgageData.__typename,project.id,project.__typename,mainImage
0,791725,791725-nabidka-pronajem-bytu-druzstevni-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 55 m², Družstevní, Hlavní město Praha","Družstevní, Praha - Nusle",55,,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Parkování']",14000,5000,CZK,False,False,False,False,,14000,False,,True,[],[],Advert,16714470,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/791k/791725/1688929224-ghqtsflfhb-phpmqaolb.jpg,Image,50.06275,14.44691,GPSPoint,,,,,MortgageData,,,
1,791723,791723-nabidka-pronajem-bytu-ferrariho-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 48 m², Ferrariho, Hlavní město Praha","Ferrariho, Praha - Stodůlky",48,,"['MHD 3 minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Garáž', 'Balkón 7 m²', 'Sklep 2 m²']",16000,4500,CZK,False,False,False,False,,16000,False,,True,[],[],Advert,16714423,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/791k/791723/1688928555-fmbvvlmina-phprkdmc6.jpg,Image,50.044417,14.302747222807,GPSPoint,,,,,MortgageData,,,
2,785066,785066-nabidka-pronajem-bytu-belehradska-praha,BYT,PRONAJEM,DISP_2_1,"Pronájem bytu 2+1 51 m², Bělehradská, Praha","Bělehradská, Praha - Vinohrady",51,,"['MHD do minuty pěšky', 'Částečně vybaveno', 'Výtah']",15500,4000,CZK,False,False,False,False,,15500,False,,False,[],[],Advert,16305161,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/785k/785066/1685391674-iqotfyrlyw-php4ctfzg.jpg,Image,50.06829,14.4342,GPSPoint,,,,,MortgageData,,,
3,630873,630873-nabidka-pronajem-bytu-michnova-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 40 m², Michnova, Praha","Michnova, Praha - Chodov",40,0.0,"['MHD 3 minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Sklep 1,2 m²']",13990,5480,CZK,,False,True,False,,13990,False,,False,[],[],Advert,10639933,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/630k/630873/1602696683-oxgtuhuvau.jpg,Image,50.03068,14.52172,GPSPoint,,,,,MortgageData,,,
4,78413,78413-nabidka-pronajem-bytu-michelska,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 25 m², Michelská, ","Michelská, Praha - Michle",25,0.0,"['MHD 1 minuta pěšky', 'Částečně vybaveno']",11900,500,CZK,,False,False,False,,11900,False,,True,[],[],Advert,12640628,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/78k/78413/1620648008-aoztnbzfpa.jpg,Image,50.0518202,14.4548333,GPSPoint,,,,,MortgageData,,,
5,790272,790272-nabidka-pronajem-bytu-prubezna-nupaky,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 50 m², Průběžná, Nupaky","Průběžná, Nupaky, Středočeský kraj",50,,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Parkování', 'Sklep 2 m²']",15000,4300,CZK,False,False,False,False,,15000,False,,False,[],[],Advert,16626165,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790272/1687981447-wotfgiasrz-php1zlc1m.jpg,Image,49.99215,14.60572,GPSPoint,,,,,MortgageData,,,
6,791645,791645-nabidka-pronajem-bytu-rixdorfska-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 38 m², Rixdorfská, Hlavní město Praha","Rixdorfská, Praha - Žižkov",38,,"['MHD 5 minut pěšky', 'Vybaveno', 'Výtah', 'Parkování', 'Sklep 8 m²']",9800,4800,CZK,True,False,True,False,,9800,False,,False,[],[],Advert,16711488,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/791k/791645/1688831971-gfukldxrhw-phps6fqt3.jpg,Image,50.0894388,14.4827657,GPSPoint,,,,,MortgageData,,,
7,791703,791703-nabidka-pronajem-bytu-sekaninova-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_1,"Pronájem bytu 1+1 36 m², Sekaninova, Praha, Praha","Sekaninova, Praha - Nusle",36,,"['MHD 1 minuta pěšky', 'Částečně vybaveno']",15000,580,CZK,False,False,False,False,,15000,False,,True,[],[],Advert,16713541,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/791k/791703/1688918369-zmwbatydro-phpm9pxus.jpg,Image,50.06601,14.42505,GPSPoint,,,,,MortgageData,,,
8,450354,450354-nabidka-pronajem-bytu-stara-naves-praha-18,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 30 m², Stará náves, Praha 18","Stará náves, Praha - Letňany",30,,"['MHD 4 minuty pěšky', 'Vybaveno', 'Balkón 1,5 m²']",13000,4000,CZK,,False,True,False,,13000,False,,True,[],[],Advert,16713158,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/450k/450354/1688897298-yyazjubimq-phpcax9r9.jpg,Image,50.1390794,14.5127743,GPSPoint,,,,,MortgageData,,,
9,789933,789933-nabidka-pronajem-bytu-u-plynarny-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 37 m², U Plynárny, Praha, Praha","U Plynárny, Praha - Michle",37,,"['MHD do minuty pěšky', 'Výtah', 'Sklep 3,5 m²']",12500,2500,CZK,False,False,True,False,,12500,False,,False,[],[],Advert,16603585,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/789k/789933/1687851076-tyvjblfyxf-phpbegtjm.jpg,Image,50.05706,14.46998,GPSPoint,,,,,MortgageData,,,
10,791651,791651-nabidka-pronajem-bytu-frantiska-kadlece-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 24 m², Františka Kadlece, Praha","Františka Kadlece, Praha - Libeň",24,,"['MHD 3 minuty pěšky', 'Vybaveno', 'Výtah', 'Parkování', 'Balkón 4 m²', 'Sklep 2 m²']",16900,3600,CZK,False,False,False,False,,16900,False,,True,[],[],Advert,16711692,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/791k/791651/1688838602-fmvwzwhrye-php88w5fq.jpg,Image,50.1142768,14.4777217,GPSPoint,,,,,MortgageData,,,
11,307284,307284-nabidka-pronajem-bytu-krumlovska,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 32 m², Krumlovská, Praha, Praha","Krumlovská, Praha - Michle",32,0.0,"['MHD 1 minuta pěšky', 'Vybaveno', 'Výtah', 'Balkón 5 m²']",14500,35000,CZK,,False,True,False,,14500,False,,True,[],[],Advert,7303086,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/307k/307284/1591266408-tqaxihqftn.jpg,Image,50.0433194,14.4582698,GPSPoint,,,,,MortgageData,,,
12,715474,715474-nabidka-pronajem-bytu-heydukova-hlavni-mesto-praha,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 25 m², Heydukova, Praha, Praha","Heydukova, Praha - Libeň",25,0.0,"['MHD 1 minuta pěšky', 'Vybaveno']",11500,3500,CZK,,False,False,False,,11500,False,,True,[],[],Advert,13509363,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/715k/715474/1650613332-bgwdrbsjhy.jpg,Image,50.10275,14.47574,GPSPoint,,,,,MortgageData,,,
13,789182,789182-nabidka-pronajem-bytu-vitove-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 36 m², Vítové, Praha","Vítové, Praha - Hlubočepy",36,,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Balkón 5 m²']",14000,2100,CZK,False,False,False,False,,14500,False,,False,[],[],Advert,16549470,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/789k/789182/1687369328-jgowtltfcw-phpmq7p6q.jpg,Image,50.02879,14.36108,GPSPoint,,,,,MortgageData,,,
14,605573,605573-nabidka-pronajem-bytu-braunerova-praha,BYT,PRONAJEM,DISP_2_1,"Pronájem bytu 2+1 63 m², Braunerova, Praha, Praha","Braunerova, Praha - Libeň",63,0.0,"['MHD 1 minuta pěšky', 'Částečně vybaveno', 'Sklep 3 m²']",13800,700,CZK,,False,False,False,,13500,False,,True,[],[],Advert,16713059,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/605k/605573/1688894561-gflqgqaqzl-phpgc7lfp.jpg,Image,50.112882,14.474947,GPSPoint,,,,,MortgageData,,,
15,755256,755256-nabidka-pronajem-bytu-k-barrandovu-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 28 m², K Barrandovu, Praha, Praha","K Barrandovu, Praha - Hlubočepy",28,,"['MHD 1 minuta pěšky', 'Částečně vybaveno', 'Výtah', 'Balkón 3 m²']",15000,1800,CZK,False,False,False,False,,17000,True,,False,[],[],Advert,16656634,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/755k/755256/1688192400-miacbaywrd-phpdwwp2m.jpg,Image,50.02655,14.36771,GPSPoint,,,,,MortgageData,,,
16,790015,790015-nabidka-pronajem-bytu-decinska-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 45 m², Děčínská, Hlavní město Praha","Děčínská, Praha - Střížkov",45,,"['MHD 3 minuty pěšky', 'Vybaveno', 'Parkování']",13200,3000,CZK,True,False,False,False,,13200,False,,False,[],[],Advert,16608526,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790015/1687870716-xebtdzelfq-phpxok3cv.jpg,Image,50.12468,14.48231,GPSPoint,,,,,MortgageData,,,
17,542898,542898-nabidka-pronajem-bytu-mladeze-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 47 m², Mládeže, Praha","Mládeže, Praha - Břevnov",47,0.0,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Výtah']",15500,6200,CZK,,False,False,False,,15000,False,,True,[],[],Advert,4913604,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/542k/542898/1544560755-gxyoepxqmx.png,Image,50.085467,14.371295,GPSPoint,,,,,MortgageData,,,
18,790932,790932-nabidka-pronajem-bytu-horackova-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 43 m², Horáčkova, Hlavní město Praha","Horáčkova, Praha - Krč",43,,"['MHD 1 minuta pěšky', 'Vybaveno', 'Výtah', 'Lodžie 7 m²']",16000,4350,CZK,False,False,True,False,,16000,False,,False,[],[],Advert,16676613,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790932/1688404890-edjmdmslrw-phpqkddqf.jpg,Image,50.04782,14.43595,GPSPoint,,,,,MortgageData,,,
19,791650,791650-nabidka-pronajem-bytu-generala-piky-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_1,"Pronájem bytu 2+1 53 m², Generála Píky, Hlavní město Praha","Generála Píky, Praha - Dejvice",53,,"['MHD 3 minuty pěšky', 'Vybaveno', 'Sklep 1 m²']",17000,5000,CZK,False,False,False,False,,17000,False,,False,[],[],Advert,16711672,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/791k/791650/1688837250-ucokhpmxcb-phpcyfxtr.jpg,Image,50.09844,14.39198,GPSPoint,,,,,MortgageData,,,
20,791647,791647-nabidka-pronajem-bytu-na-vysine-ricany,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 68 m², Na Výšině, Říčany","Na Výšině, Říčany u Prahy, Středočeský kraj",68,,"['MHD 1 minuta pěšky', 'Výtah', 'Garáž', 'Balkón 6 m²', 'Sklep 4 m²']",17000,5500,CZK,False,False,False,False,,17000,False,,False,[],[],Advert,16711613,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/791k/791647/1688835942-vrdudgqxxd-phpz1lmgd.png,Image,49.98976,14.6449,GPSPoint,,,,,MortgageData,,,
21,698894,698894-nabidka-pronajem-bytu-vratnicka-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 42 m², Vrátnická, Praha","Vrátnická, Praha - Modřany",42,0.0,"['MHD 1 minuta pěšky', 'Částečně vybaveno', 'Výtah', 'Sklep 5 m²', 'Terasa 20 m²']",16000,4000,CZK,,False,True,False,,16000,False,,False,[],[],Advert,16677233,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/698k/698894/1688413205-bxinuzacma-php5cg6hw.jpg,Image,50.012400271582,14.401224848854,GPSPoint,,,,,MortgageData,,,
